Month,Day,Hebrew Day,Layer 10,Layer 11,Layer 12,General
דצמבר,25.0,ד,י3 - מבחן במיתוג ומערכות ספרתיות,,מועד ב' מגמות,
דצמבר,26.0,ה,"מבחן מגמות - ניהול עסקי, מדמ""ח, תקשורת, תע""נ",,סדנת ברייקדאנס ,א' חנוכה
דצמבר,27.0,ו,חנוכה,חנוכה,חנוכה,ב' חנוכה
דצמבר,28.0,ש,חנוכה,חנוכה,חנוכה,ג' חנוכה
דצמ,29.0,א,,,,ד' חנוכה
דצמ,30.0,ב,,,,ה' חנוכה
דצמ,31.0,ג,חנוכה,חנוכה,חנוכה,ו' חנוכה
ינואר,1.0,ד,חנוכה,חנוכה,חנוכה,ז' חנוכה
ינואר,2.0,ה,חנוכה,חנוכה,חנוכה,זאת חנוכה
ינואר,3.0,ו,,מועד ב',מועד ב' ספרות,
ינואר,4.0,ש,,,,
ינואר,5.0,א,מועד ב',מועד ב',מתכונת באנגלית,
ינואר,6.0,ב,קורס עזרה ראשונה,"מבחן מסכם מתמטיקה יא6, יא11",מועד ב' באנגלית,
ינואר,7.0,ג,קורס עזרה ראשונה,מועד ב',,השתלמות מוסדית 
ינואר,8.0,ד,מועד ב',,מתכונת במתמטיקה 4-3 יח',
ינואר,9.0,ה,מועד ב',בגרות בלשון,,בגרות בלשון
ינואר,10.0,ו,מועד ב',מועד ב',מועד ב' באזרחות,צום עשרה בטבת
ינואר,11.0,ש,,,,
ינואר,12.0,א,מועד ב',מועד ב',,
ינואר,13.0,ב,,"ביולוגיה - מעבדת בלמונטה
מתכונת יא6, יא11
תע""נ - סדנת עמידה מול קהל","מועד ב' במתמטיקה
מגמה גיאוגרפיה + יב8 
סדנת AI",
ינואר,14.0,ג,,,,"השתלמות מוסדית 
ערב חשיפה מגמות עירוניות"
ינואר,15.0,ד,,,בגרות באנגלית,בגרות באנגלית
ינואר,16.0,ה,,,בגרות באנגלית,בגרות באנגלית
ינואר,17.0,ו,,,,
ינואר,18.0,ש,,,,
ינואר,19.0,א,,"ביוטכנולוגיה - פרויקט חקר
תע""נ - סדנת עמידה מול קהל",מועד ב' מגמות מדעיות,
