,,,,,,
,10,ג,,מבחן בביולוגיה,,"יום הורים - מחצית א' 
ערב הסברה להורים - תשפ""ו"
,11,ד,"י9, י8 - מבחן בתנך",,מבחן במתמטיקה,
,12,ה,מבחן בהיסטוריה,מבחן במתמטיקה,סדנה - רגע לפני גיוס,
,13,ו,,,יב8 - מבחן במתמטיקה,
,14,ש,,,,
דצמבר,15,א,,טיול שנתי י''א,טיול שנתי י''ב,
,16,ב,טיול שנתי י',טיול שנתי י''א,טיול שנתי י''ב,
,17,ג,טיול שנתי י',,טיול שנתי י''ב,
,18,ד,,,,"יום הוקרה לפצועי צה""ל ונפגעי פעולות איבה"
,19,ה,,,,
,20,ו,,"מבחן בכימיה, פיזיקה
",,
,21,ש,,,,
דצמבר,22,א,,,"יב3 - מבחן פרוייקט גמר
יב8, יב6 - מבחן בגאוגרפיה",
,23,ב,מבחן במתמטיקה,,,
,24,ג,,מתכונת בלשון,"יב3 - מבחן פרוייקט גמר
מבחן מגמות - תקשורת, ניהול עסקי,  גאוגרפיה, רוסית, ניהול הייצור, מד""ח","יום המורה 
מליאה - כלל המורים
סדנה למניעת הטרדה מינית מטעם רשת עמל
ערב פתוח - חיל האויר 
"
,25,ד,י3 - מבחן במיתוג ומערכות ספרתיות,,מועד ב' מגמות,
,26,ה,"מבחן מגמות - ניהול עסקי, מדמ""ח, תקשורת, תע""נ",,סדנת ברייקדאנס ,א' חנוכה
,27,ו,חנוכה,חנוכה,חנוכה,ב' חנוכה
,28,ש,חנוכה,חנוכה,חנוכה,ג' חנוכה
דצמ,29,א,,,,ד' חנוכה
,30,ב,,,,ה' חנוכה
,31,ג,חנוכה,חנוכה,חנוכה,ו' חנוכה
ינואר,1,ד,חנוכה,חנוכה,חנוכה,ז' חנוכה
,2,ה,חנוכה,חנוכה,חנוכה,זאת חנוכה
,3,ו,,מועד ב',מועד ב' ספרות,
,4,ש,,,,
ינואר,5,א,מועד ב',מועד ב',מתכונת באנגלית,
,6,ב,קורס עזרה ראשונה,"מבחן מסכם מתמטיקה יא6, יא11",מועד ב' באנגלית,
,7,ג,קורס עזרה ראשונה,מועד ב',,השתלמות מוסדית 
,8,ד,מועד ב',,מתכונת במתמטיקה 4-3 יח',
,9,ה,מועד ב',בגרות בלשון,,בגרות בלשון
,10,ו,מועד ב',מועד ב',מועד ב' באזרחות,צום עשרה בטבת
,11,ש,,,,
ינואר,12,א,מועד ב',מועד ב',,
,13,ב,,"ביולוגיה - מעבדת בלמונטה
מתכונת יא6, יא11
תע""נ - סדנת עמידה מול קהל","מועד ב' במתמטיקה
מגמה גיאוגרפיה + יב8 
סדנת AI",
,14,ג,,,,"השתלמות מוסדית 
ערב חשיפה מגמות עירוניות"
,15,ד,,,בגרות באנגלית,בגרות באנגלית
,16,ה,,,בגרות באנגלית,בגרות באנגלית
,17,ו,,,,
,18,ש,,,,
ינואר,19,א,,"ביוטכנולוגיה - פרויקט חקר
תע""נ - סדנת עמידה מול קהל",מועד ב' מגמות מדעיות,
,20,ב,,"ביוטכנולוגיה - פרויקט חקר
תע""נ - סדנת עמידה מול קהל",,
,21,ג,,ביוטכנולוגיה - פרויקט חקר,,השתלמות מוסדית 
,22,ד,,בגרות במתמטיקה,בגרות במתמטיקה,בגרות במתמטיקה
,23,ה,,בגרות במתמטיקה,בגרות במתמטיקה,בגרות במתמטיקה
,24,ו,,,,סיום מחצית א'
,25,ש,,,,
ינואר,26,א,,,,תחילת מחצית ב'
,27,ב,,ביולוגיה - מעבדת בלמונטה,,בגרות בתנך
,28,ג,הצגה - סיום מחצית ,הצגה - סיום מחצית ,הצגה - סיום מחצית ,השתלמות מוסדית 
,29,ד,,,,
,30,ה,י6 - פעילות כיתות שחר,"יא6, יא11 - פעילות כיתות שחר",יב6 - פעילות כיתות שחר,
,31,ו,,,,
פברואר,1,ש,,,,
,2,א,סדנת לוינסקי,סדנת לוינסקי,,
,3,ב,סדנת לוינסקי,סדנת לוינסקי,,
,4,ג,סדנת לוינסקי,סדנת לוינסקי,,השתלמות מוסדית 
,5,ד,סדנת לוינסקי,סדנת לוינסקי,,ערב פתוח - חיל האוויר 
,6,ה,,,,
,7,ו,,,,
,8,ש,,,,
פברואר,9,א,,,,
,10,ב,,,,
,11,ג,,,,"השתלמות - סדנת מורים
חלוקת תעודות מחצית א'"
,12,ד,,,,
,13,ה,,,,"ט""ו בשבט"
,14,ו,,,,
,15,ש,,,,
פברואר,16,א,,,,
,17,ב,,מגמת גאוגרפיה - סיור,יב11 - סיור גאוגרפיה,
,18,ג,,אפקט הפורנו,,השתלמות מוסדית 
,19,ד,,,,
,20,ה,,,,
,21,ו,,,,
,22,ש,,,,
פברואר,23,א,,,,
,24,ב,,,,
,25,ג,,אפקט הפורנו,,מליאה / ישיבת רכזים
,26,ד,,,,
,27,ה,,,,"ראיונות ותהליכי קבלה לשנת תשפ""ו"
,28,ו,,,,
מרץ,1,ש,,,,
,2,א,,סיור ליד ושם,,
,3,ב,,,,
,4,ג,,,,השתלמות מוסדית 
,5,ד,,,,
,6,ה,,,,
,7,ו,,,,
,8,ש,,,,
מרץ,9,א,,,,
,10,ב,,,,
,11,ג,,,,
,12,ד,מסיבת פורים,מסיבת פורים,מסיבת פורים,מסיבת פורים
,13,ה,,,,תענית אסתר
,14,ו,פורים,פורים,פורים,פורים
,15,ש,שושן פורים,שושן פורים,שושן פורים,שושן פורים
מרץ,16,א,שושן פורים,שושן פורים,שושן פורים,שושן פורים
,17,ב,,סדנאות אלה שוורצמן,,
,18,ג,יום המעשים הטובים,יום המעשים הטובים,יום המעשים הטובים,יום המעשים הטובים
,19,ד,,,,ערב פתוח - חיל האוויר 
,20,ה,,,,
,21,ו,,,,
,22,ש,,,,
מרץ,23,א,,,,
,24,ב,,,,
,25,ג,,,,יום הורים - מחצית ב'
,26,ד,,,,
,27,ה,,,,
,28,ו,,,,
,29,ש,,,,
מרץ,30,א,,,,
,31,ב,,,,
אפריל,1,ג,,סדנאות אלה שוורצמן,,
,2,ד,,הכנה לצו ראשון,,
,3,ה,,,,
,4,ו,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
,5,ש,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,6,א,,,,
,7,ב,,,,
,8,ג,,,,
